dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
compas,GBM,Rashomon,V_m_nonHH,hp_max_depth,0.18664410286595376,0.05272337147349347,0.0,0.8333333333333334,2.6666666666666665,12,compas|GBM|Rashomon|V_m_nonHH
compas,GBM,Rashomon,V_m_nonHH,hp_n_estimators,0.17343019394342726,0.04785050627915478,0.0,0.75,2.75,12,compas|GBM|Rashomon|V_m_nonHH
compas,GBM,Rashomon,V_m_nonHH,hp_learning_rate,0.14133617479303803,0.03223292994873246,0.0,0.4166666666666667,3.5833333333333335,12,compas|GBM|Rashomon|V_m_nonHH
compas,GBM,Rashomon,V_m_nonHH,hp_subsample,0.031794947290630676,0.006227536607607057,0.0,0.0,5.0,12,compas|GBM|Rashomon|V_m_nonHH
compas,GBM,full_pool,V_m,validation_brier,0.8192472361143818,0.04699889005388975,1.0,1.0,1.0,12,compas|GBM|full_pool|V_m
compas,GBM,full_pool,V_m,hp_learning_rate,0.06261679331081822,0.01437803305800127,0.0,0.9166666666666666,2.4166666666666665,12,compas|GBM|full_pool|V_m
compas,GBM,full_pool,V_m,hp_n_estimators,0.05838699463599555,0.020021007703404155,0.0,0.9166666666666666,2.75,12,compas|GBM|full_pool|V_m
compas,GBM,full_pool,V_m,hp_max_depth,0.043550435750345444,0.01609401449975805,0.0,0.16666666666666666,3.8333333333333335,12,compas|GBM|full_pool|V_m
compas,GBM,full_pool,V_m,hp_subsample,0.016198540188458854,0.012029294412943804,0.0,0.0,5.0,12,compas|GBM|full_pool|V_m
compas,GBM,full_pool,V_m_HH,validation_brier,0.7196328783355272,0.061901173415516035,1.0,1.0,1.0,12,compas|GBM|full_pool|V_m_HH
compas,GBM,full_pool,V_m_HH,hp_learning_rate,0.10481950574381477,0.022393258600976428,0.0,1.0,2.25,12,compas|GBM|full_pool|V_m_HH
compas,GBM,full_pool,V_m_HH,hp_n_estimators,0.08614239210049777,0.034993138916804986,0.0,0.9166666666666666,2.9166666666666665,12,compas|GBM|full_pool|V_m_HH
compas,GBM,full_pool,V_m_HH,hp_max_depth,0.05638808148225297,0.019207908873178286,0.0,0.08333333333333333,4.0,12,compas|GBM|full_pool|V_m_HH
compas,GBM,full_pool,V_m_HH,hp_subsample,0.03301714233790725,0.014107329217614734,0.0,0.0,4.833333333333333,12,compas|GBM|full_pool|V_m_HH
compas,GBM,full_pool,V_m_nonHH,validation_brier,0.823887002595837,0.04686301721743624,1.0,1.0,1.0,12,compas|GBM|full_pool|V_m_nonHH
compas,GBM,full_pool,V_m_nonHH,hp_learning_rate,0.059521149772463526,0.014324093551408679,0.0,0.8333333333333334,2.5833333333333335,12,compas|GBM|full_pool|V_m_nonHH
compas,GBM,full_pool,V_m_nonHH,hp_n_estimators,0.057272974177337926,0.019823303189597474,0.0,0.9166666666666666,2.75,12,compas|GBM|full_pool|V_m_nonHH
compas,GBM,full_pool,V_m_nonHH,hp_max_depth,0.04359623321836031,0.016583227195072908,0.0,0.25,3.6666666666666665,12,compas|GBM|full_pool|V_m_nonHH
compas,GBM,full_pool,V_m_nonHH,hp_subsample,0.015722640236001114,0.011525153892542168,0.0,0.0,5.0,12,compas|GBM|full_pool|V_m_nonHH
compas,LogReg,Rashomon,V_m,hp_C,0.8704311492138549,0.09274541277531007,1.0,1.0,1.0,12,compas|LogReg|Rashomon|V_m
compas,LogReg,Rashomon,V_m,validation_brier,0.07001326079746384,0.07191327826596339,0.0,1.0,2.5833333333333335,12,compas|LogReg|Rashomon|V_m
